kyoto,shapes/kyoto.png
kyoto_tcn,shapes/kyoto.png
kyoto_kr,shapes/kyoto.png
kyoto_cn,shapes/kyoto.png
kyoto_en,shapes/kyoto.png
kobe,shapes/kobe.png
kobe_tcn,shapes/kobe.png
kobe_cn,shapes/kobe.png
kobe_kr,shapes/kobe.png
kobe_en,shapes/kobe.png
nagoya_tcn,shapes/icon-26.png
nagoya_kr,shapes/icon-26.png
nagoya_cn,shapes/icon-26.png
nagoya_en,shapes/icon-26.png
nagoya_pt,shapes/icon-26.png
nagoyametro,shapes/icon-26.png
osaka_tcn,shapes/icon-26.png
osaka_cn,shapes/icon-26.png
osaka_kr,shapes/icon-26.png
osaka_en,shapes/icon-26.png
osakamap.jp,shapes/icon-26.png
tokyo_kr,shapes/icon-26.png
tokyo_tcn,shapes/icon-26.png
tokyo_en,shapes/icon-26.png
tokyo_cn,shapes/icon-26.png
tokyomap.jp,shapes/icon-26.png
tokyo_de,shapes/icon-26.png
tokyo_ru,shapes/icon-26.png
tokyo_es,shapes/icon-26.png
tokyo_fr,shapes/icon-26.png
tokyo_shosai,shapes/icon-26.png
tokyo_shisetsu,shapes/icon-26.png
daegumetro,shapes/daegumetro.png
cologne_busnetz,bus-shapes/bus.png
cologne_busnetz_linksrheinisch,bus-shapes/bus.png
cologne_busnetz_rechtsrheinisch,bus-shapes/bus.png